id;clusters_0;clusters_1
pub.1027556893;6;5
pub.1027574548;26;4
pub.1027574617;49;2
pub.1027589204;23;19
pub.1027606772;9;8
pub.1027625615;12;10
pub.1027635140;13;4
pub.1027639813;9;8
pub.1027641484;6;5
pub.1027672066;41;4
pub.1027675305;2;1
pub.1027694425;110;61
pub.1027700406;5;4
pub.1027708350;228;144
pub.1027711473;22;18
pub.1027711686;9;8
pub.1027725559;22;18
pub.1027732509;62;32
pub.1027733404;9;8
pub.1027757597;22;18
pub.1027758264;22;18
pub.1027809673;5;4
pub.1027812751;4;3
pub.1027813800;48;34
pub.1027814946;3;2
pub.1027828893;30;23
pub.1027841966;22;18
pub.1027849734;9;8
pub.1027887710;22;18
pub.1027893590;54;38
pub.1027894218;22;18
pub.1027909014;6;5
pub.1027912069;108;38
pub.1027916976;0;0
pub.1027926352;68;47
pub.1027944434;41;4
pub.1027955769;22;18
pub.1027956597;21;17
pub.1027971905;0;0
pub.1027989810;234;149
pub.1028005283;31;24
pub.1028009153;20;3
pub.1028010546;5;4
pub.1028011519;23;19
pub.1028018843;29;4
pub.1028024321;4;3
pub.1028032013;146;2
pub.1028053627;9;8
pub.1028091685;78;53
pub.1028103529;13;4
pub.1028134182;5;4
pub.1028143481;33;25
pub.1028169227;20;3
pub.1028188486;152;11
pub.1028231182;9;8
pub.1028232002;140;89
pub.1028236666;21;17
pub.1028239640;49;2
pub.1028246334;43;24
pub.1028277373;9;8
pub.1028326412;21;17
pub.1028331230;0;0
pub.1026479733;20;3
pub.1026488929;21;17
pub.1026503254;9;8
pub.1026513578;5;4
pub.1026518911;45;23
pub.1026527907;9;8
pub.1026532594;9;8
pub.1026578153;13;4
pub.1026579552;13;4
pub.1026596693;45;23
pub.1026601660;30;23
pub.1026614476;5;4
pub.1026626110;45;23
pub.1026627387;18;15
pub.1026630144;5;4
pub.1026631326;21;17
pub.1026655801;122;5
pub.1026663204;5;4
pub.1026663860;45;23
pub.1026668377;21;17
pub.1026678116;9;8
pub.1026679779;28;22
pub.1026683209;242;154
pub.1026686133;3;2
pub.1026691330;9;8
pub.1026697989;5;4
pub.1026701333;57;38
pub.1026708835;4;3
pub.1026727560;244;155
pub.1026748446;0;0
pub.1026772719;50;18
pub.1026793451;24;18
pub.1026801802;4;3
pub.1026806959;9;8
pub.1026807476;93;3
pub.1026811333;12;10
pub.1026822421;15;12
pub.1026826610;49;2
pub.1026830089;23;19
pub.1026877499;30;23
pub.1026895545;21;17
pub.1026899322;47;21
pub.1026902645;62;32
pub.1026903663;9;8
pub.1026906969;57;38
pub.1026958415;9;8
pub.1026964003;23;19
pub.1026971883;6;5
pub.1026989789;22;18
pub.1026995338;20;3
pub.1027004308;94;63
pub.1027006311;9;8
pub.1027026520;254;2
pub.1027029380;30;23
pub.1027050247;22;18
pub.1027052071;6;5
pub.1027073107;50;18
pub.1027117125;5;4
pub.1027126640;26;4
pub.1027129295;94;63
pub.1027167030;21;17
pub.1027175306;94;63
pub.1027176916;22;18
pub.1027196879;5;4
pub.1027252108;68;47
pub.1027258932;98;10
pub.1027287346;9;8
pub.1027297615;70;1
pub.1027319878;57;38
pub.1027327888;30;23
pub.1027447605;9;8
pub.1027449127;9;8
pub.1027501303;30;23
pub.1027504397;9;8
pub.1027549886;9;8
pub.1027568425;122;5
pub.1027575821;21;17
pub.1027578385;12;10
pub.1027580713;9;8
pub.1027594330;38;29
pub.1027598148;12;10
pub.1027602706;9;8
pub.1027639098;80;55
pub.1027668664;30;23
pub.1027676050;65;23
pub.1027678410;23;19
pub.1027699657;29;4
pub.1027702738;15;12
pub.1027726683;22;18
pub.1027745884;30;23
pub.1027762858;5;4
pub.1027775366;23;19
pub.1027775976;9;8
pub.1027792676;22;18
pub.1027823719;94;63
pub.1027824228;38;29
pub.1027834648;5;4
pub.1027842462;5;4
pub.1027902778;9;8
pub.1027905695;30;23
pub.1027909348;0;0
pub.1027910870;22;18
pub.1027916555;9;8
pub.1027924138;23;19
pub.1027932514;9;8
pub.1027990466;9;8
pub.1028004718;2;1
pub.1028017588;22;18
pub.1028055261;131;67
pub.1028063439;21;17
pub.1028064322;22;18
pub.1028069758;21;17
pub.1028108483;50;18
pub.1028140350;9;8
pub.1028186322;6;5
pub.1028204530;31;24
pub.1028207298;13;4
pub.1028258519;21;17
pub.1028258653;9;8
pub.1028295247;101;67
pub.1028303298;15;12
pub.1028310135;78;53
pub.1028314973;26;4
pub.1028316927;28;22
pub.1028319789;108;38
pub.1028323170;5;4
pub.1028333408;29;4
pub.1028337628;48;34
pub.1028339195;26;4
pub.1028372432;9;8
pub.1028382648;9;8
pub.1028395552;29;4
pub.1028402215;17;14
pub.1028402263;9;8
pub.1028411365;9;8
pub.1028415083;9;8
pub.1028440296;23;19
pub.1028444391;26;4
pub.1028468116;26;4
pub.1028473207;54;38
pub.1028475952;13;4
pub.1028477958;70;1
pub.1028483662;29;4
pub.1028491285;30;23
pub.1028498749;91;62
pub.1028510519;5;4
pub.1028521461;5;4
pub.1028548587;29;4
pub.1028556092;30;23
pub.1028565880;5;4
pub.1028571489;23;19
pub.1028581167;17;14
pub.1028592543;23;19
pub.1028609700;41;4
pub.1028626750;5;4
pub.1027520901;50;18
pub.1027552947;68;47
pub.1027578992;9;8
pub.1027601515;26;4
pub.1027633282;8;7
pub.1027659835;108;38
pub.1027670432;9;8
pub.1027689085;46;33
pub.1027765651;57;38
pub.1027769506;5;4
pub.1027817501;13;4
pub.1027819881;5;4
pub.1027831438;0;0
pub.1027862399;4;3
pub.1027880152;57;38
pub.1027885262;5;4
pub.1027915205;72;27
pub.1027920634;96;53
pub.1027939727;9;8
pub.1027940059;42;32
pub.1027964782;30;23
pub.1027977078;28;22
pub.1027979399;21;17
pub.1027979634;21;17
pub.1027994061;1;0
pub.1027997251;12;10
pub.1028003963;3;2
pub.1028044732;12;10
pub.1028063857;13;4
pub.1028083618;45;23
pub.1028092238;62;32
pub.1028096921;26;4
pub.1028100163;50;18
pub.1028103016;21;17
pub.1028108082;5;4
pub.1028118897;0;0
pub.1028145569;273;175
pub.1028169617;5;4
pub.1028170101;45;23
pub.1028182306;79;54
pub.1028193344;48;34
pub.1028217723;50;18
pub.1028236783;30;23
pub.1028270080;31;24
pub.1028295194;118;75
pub.1028295476;21;17
pub.1028349085;57;38
pub.1028371250;4;3
pub.1028390046;0;0
pub.1028409354;9;8
pub.1028454279;22;18
pub.1028458103;30;23
pub.1028500061;4;3
pub.1028544825;93;3
pub.1028549562;94;63
pub.1028554701;3;2
pub.1028563311;5;4
pub.1028571178;10;5
pub.1028574295;21;17
pub.1028577012;22;18
pub.1028598057;108;38
pub.1028624230;12;10
pub.1028641104;68;47
pub.1028642862;5;4
pub.1028655755;6;5
pub.1028657583;29;4
pub.1028676039;0;0
pub.1028701845;12;10
pub.1028711375;13;4
pub.1028726708;5;4
pub.1028738334;45;23
pub.1028776328;22;18
pub.1028782906;9;8
pub.1028794330;30;23
pub.1027574402;54;38
pub.1027574580;48;34
pub.1027610602;9;8
pub.1027621183;7;6
pub.1027630002;13;4
pub.1027634719;9;8
pub.1027637381;9;8
pub.1027663336;103;8
pub.1027664580;30;23
